date,stock_id,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,Note,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance
2023-12-01,2330,105,16,6483017,349,16328,16588, ,1,24,2,6483017,20,522,528
2023-12-04,2330,526,1,6483017,1417,15436,16328, ,2,106,1,6483017,44,459,522
2023-12-05,2330,280,8,6483017,202,15506,15436, ,1,62,0,6483017,5,402,459
2023-12-06,2330,221,11,6483017,114,15602,15506, ,0,52,1,6483017,7,356,402
2023-12-07,2330,276,2,6483017,99,15777,15602,X ,0,73,0,6483017,9,292,356
2023-12-08,2330,1146,22,6483017,314,16587,15777,X ,0,286,2,6483017,0,4,292
2023-12-11,2330,778,11,6483017,195,17159,16587,X ,0,2,2,6483017,0,0,4
2023-12-12,2330,439,5,6483017,619,16974,17159,X ,0,0,0,6483017,0,0,0
2023-12-13,2330,285,27,6483017,905,16327,16974, ,0,0,0,6483017,0,0,0
2023-12-14,2330,234,6,6483017,1082,15473,16327, ,6,0,0,6483017,49,49,0
2023-12-15,2330,186,9,6483017,1064,14586,15473, ,20,3,0,6483017,25,71,49
